name,today_playcount,playcount_diff
Intro,14052875,2370
Blue Jeans,12802351,-41507
When You Were Young,11677505,2305
Teardrop,11428108,1614
I'm Yours,11026220,1711
Someone Like You,10876027,2733
Enter Sandman,10565435,-9657
Lithium,10532547,2824
Alejandro,10011016,1822
Bohemian Rhapsody,9863840,-21
Set Fire to the Rain,9742099,2481
Jigsaw Falling Into Place,9474695,4223
Hurt,9314694,1740
Paradise,9308553,1936
Faint,8993279,1437
All These Things That I've Done,8942856,1348
Lonely Day,8831479,1529
I Kissed a Girl,8822388,2167
New Slang,8722143,1684
Highway to Hell,8426442,712
